datetime,symbol,open,high,low,close,volume
2019-09-19 19:00:00,BINANCE:BUSDUSDT,238.7,306.0963,0.0005,1.0,157497.51
2019-09-20 19:00:00,BINANCE:BUSDUSDT,1.0,1.0,0.9999,0.9999,141274.28
2019-09-21 19:00:00,BINANCE:BUSDUSDT,0.9999,1.0001,0.9999,0.9999,127966.26
2019-09-22 19:00:00,BINANCE:BUSDUSDT,0.9999,1.0001,0.9999,1.0,1237537.7
2019-09-23 19:00:00,BINANCE:BUSDUSDT,1.0,1.0499,0.9902,0.9997,3394555.76
2019-09-24 19:00:00,BINANCE:BUSDUSDT,0.9997,1.001,0.9942,0.9997,625266.49
2019-09-25 19:00:00,BINANCE:BUSDUSDT,1.0,1.0018,0.9997,0.9999,702098.53
2019-09-26 19:00:00,BINANCE:BUSDUSDT,0.9999,1.0011,0.9991,0.9992,240877.53
2019-09-27 19:00:00,BINANCE:BUSDUSDT,0.9992,1.0003,0.998,0.999,145946.64
2019-09-28 19:00:00,BINANCE:BUSDUSDT,0.9988,1.0,0.9982,0.9982,104913.54
2019-09-29 19:00:00,BINANCE:BUSDUSDT,0.9982,1.0003,0.9976,1.0,346265.17
2019-09-30 19:00:00,BINANCE:BUSDUSDT,0.9982,1.0,0.9972,0.9994,176436.09
2019-10-01 19:00:00,BINANCE:BUSDUSDT,0.9994,0.9999,0.9973,0.9994,288582.13
2019-10-02 19:00:00,BINANCE:BUSDUSDT,0.9994,0.9999,0.9972,0.9989,252452.7
2019-10-03 19:00:00,BINANCE:BUSDUSDT,0.9989,0.9999,0.9981,0.9982,49799.95
2019-10-04 19:00:00,BINANCE:BUSDUSDT,0.9983,0.9999,0.998,0.9982,50077.93
2019-10-05 19:00:00,BINANCE:BUSDUSDT,0.9981,1.0,0.9977,0.9989,137304.71
2019-10-06 19:00:00,BINANCE:BUSDUSDT,1.0,1.0,0.9976,0.9983,284335.94
2019-10-07 19:00:00,BINANCE:BUSDUSDT,0.9983,1.001,0.998,0.9992,432492.16
2019-10-08 19:00:00,BINANCE:BUSDUSDT,0.9992,1.0007,0.9978,0.9989,2689959.75
2019-10-09 19:00:00,BINANCE:BUSDUSDT,0.9976,0.9998,0.9965,0.997,148428.97
2019-10-10 19:00:00,BINANCE:BUSDUSDT,0.9978,1.0,0.997,0.9991,1059218.96
2019-10-11 19:00:00,BINANCE:BUSDUSDT,0.9993,1.0,0.998,0.9992,1524524.75
2019-10-12 19:00:00,BINANCE:BUSDUSDT,0.9992,0.9999,0.9984,0.9996,1920259.26
2019-10-13 19:00:00,BINANCE:BUSDUSDT,0.9996,0.9999,0.9985,0.9994,2185640.02
2019-10-14 19:00:00,BINANCE:BUSDUSDT,0.9994,1.0006,0.9992,1.0003,3028583.17
2019-10-15 19:00:00,BINANCE:BUSDUSDT,1.0002,1.0011,0.9997,1.0,8195713.67
2019-10-16 19:00:00,BINANCE:BUSDUSDT,1.0001,1.0005,0.9994,0.9995,9330621.75
2019-10-17 19:00:00,BINANCE:BUSDUSDT,0.9995,1.0002,0.9995,0.9997,9477960.17
2019-10-18 19:00:00,BINANCE:BUSDUSDT,0.9996,1.0,0.9991,0.9997,10736113.25999999
2019-10-19 19:00:00,BINANCE:BUSDUSDT,0.9997,1.0001,0.9986,0.9989,8814488.48
2019-10-20 19:00:00,BINANCE:BUSDUSDT,0.999,0.9995,0.998,0.9983,1996315.96
2019-10-21 19:00:00,BINANCE:BUSDUSDT,0.9982,0.9997,0.9982,0.9993,2095484.13
2019-10-22 19:00:00,BINANCE:BUSDUSDT,0.9992,1.0006,0.999,0.9998,4033440.04
2019-10-23 19:00:00,BINANCE:BUSDUSDT,0.9998,1.0,0.9985,0.9986,2853289.93
2019-10-24 19:00:00,BINANCE:BUSDUSDT,0.9986,1.0,0.9974,0.9986,6330503.69999999
2019-10-25 19:00:00,BINANCE:BUSDUSDT,0.9987,1.0,0.9912,0.9989,11785935.45000002
2019-10-26 19:00:00,BINANCE:BUSDUSDT,0.9988,0.9991,0.9967,0.9977,6708005.67000001
2019-10-27 19:00:00,BINANCE:BUSDUSDT,0.9978,0.9988,0.9966,0.9979,5753940.81000001
2019-10-28 19:00:00,BINANCE:BUSDUSDT,0.9978,0.9997,0.9976,0.9985,7098591.82
2019-10-29 19:00:00,BINANCE:BUSDUSDT,0.9985,1.0,0.998,0.9993,5896083.17999999
2019-10-30 19:00:00,BINANCE:BUSDUSDT,0.9994,0.9995,0.9985,0.9992,5312252.31000001
2019-10-31 19:00:00,BINANCE:BUSDUSDT,0.9991,1.0002,0.9985,0.9993,5496693.59
2019-11-01 19:00:00,BINANCE:BUSDUSDT,0.9994,0.9995,0.9981,0.9987,3176672.92
2019-11-02 19:00:00,BINANCE:BUSDUSDT,0.9987,0.9998,0.9985,0.9996,3334588.36
2019-11-03 18:00:00,BINANCE:BUSDUSDT,0.9996,1.0002,0.9982,0.9986,7910758.98000001
2019-11-04 18:00:00,BINANCE:BUSDUSDT,0.9986,1.0,0.9978,0.9991,8610353.13000001
