datetime,symbol,open,high,low,close,volume
2020-10-12 19:00:00,BINANCE:USDTBRL,5.53,5.59,5.314,5.567,67673.0
2020-10-13 19:00:00,BINANCE:USDTBRL,5.579,5.641,5.53,5.61,86664.65
2020-10-14 19:00:00,BINANCE:USDTBRL,5.621,5.685,5.61,5.68,86150.38
2020-10-15 19:00:00,BINANCE:USDTBRL,5.68,5.729,5.667,5.712,102640.85
2020-10-16 19:00:00,BINANCE:USDTBRL,5.712,5.715,5.703,5.71,18945.7
2020-10-17 19:00:00,BINANCE:USDTBRL,5.703,5.711,5.67,5.707,42068.08
2020-10-18 19:00:00,BINANCE:USDTBRL,5.707,5.712,5.635,5.681,180840.69
2020-10-19 19:00:00,BINANCE:USDTBRL,5.681,5.7,5.613,5.677,116425.18
2020-10-20 19:00:00,BINANCE:USDTBRL,5.677,5.695,5.627,5.66,363251.3
2020-10-21 19:00:00,BINANCE:USDTBRL,5.669,5.673,5.618,5.63,153382.76
2020-10-22 19:00:00,BINANCE:USDTBRL,5.641,5.695,5.615,5.675,141188.51
2020-10-23 19:00:00,BINANCE:USDTBRL,5.674,5.688,5.671,5.674,47061.95
2020-10-24 19:00:00,BINANCE:USDTBRL,5.672,5.682,5.669,5.676,55085.09
2020-10-25 19:00:00,BINANCE:USDTBRL,5.676,5.728,5.665,5.695,183872.09
2020-10-26 19:00:00,BINANCE:USDTBRL,5.695,5.775,5.668,5.773,154758.95
2020-10-27 19:00:00,BINANCE:USDTBRL,5.765,5.849,5.759,5.82,227353.71
2020-10-28 19:00:00,BINANCE:USDTBRL,5.82,5.86,5.806,5.851,183292.27
2020-10-29 19:00:00,BINANCE:USDTBRL,5.853,5.87,5.8,5.822,133369.46
2020-10-30 19:00:00,BINANCE:USDTBRL,5.823,5.823,5.801,5.814,63061.88
2020-10-31 19:00:00,BINANCE:USDTBRL,5.818,5.82,5.807,5.808,25237.03
2020-11-01 18:00:00,BINANCE:USDTBRL,5.807,5.826,5.807,5.811,63841.47
2020-11-02 18:00:00,BINANCE:USDTBRL,5.811,5.834,5.725,5.816,233688.51
2020-11-03 18:00:00,BINANCE:USDTBRL,5.813,5.824,5.72,5.745,247166.77
2020-11-04 18:00:00,BINANCE:USDTBRL,5.744,5.744,5.614,5.618,505004.66
2020-11-05 18:00:00,BINANCE:USDTBRL,5.626,5.657,5.447,5.466,481085.5
2020-11-06 18:00:00,BINANCE:USDTBRL,5.466,5.474,5.436,5.46,247606.25
2020-11-07 18:00:00,BINANCE:USDTBRL,5.456,5.468,5.445,5.446,126041.35
2020-11-08 18:00:00,BINANCE:USDTBRL,5.45,5.508,5.301,5.469,848728.47
2020-11-09 18:00:00,BINANCE:USDTBRL,5.462,5.884,5.456,5.559,841801.44
2020-11-10 18:00:00,BINANCE:USDTBRL,5.56,5.665,5.501,5.502,656076.59
2020-11-11 18:00:00,BINANCE:USDTBRL,5.502,5.551,5.468,5.479,316265.56
2020-11-12 18:00:00,BINANCE:USDTBRL,5.479,5.56,5.45,5.509,432038.91
2020-11-13 18:00:00,BINANCE:USDTBRL,5.509,5.559,5.509,5.539,126330.51
2020-11-14 18:00:00,BINANCE:USDTBRL,5.539,5.548,5.52,5.541,44794.45
2020-11-15 18:00:00,BINANCE:USDTBRL,5.53,5.535,5.441,5.445,370068.1
2020-11-16 18:00:00,BINANCE:USDTBRL,5.445,5.469,5.364,5.372,322021.87
2020-11-17 18:00:00,BINANCE:USDTBRL,5.383,5.42,5.341,5.407,505203.42
2020-11-18 18:00:00,BINANCE:USDTBRL,5.407,5.42,5.345,5.365,370320.27
2020-11-19 18:00:00,BINANCE:USDTBRL,5.367,5.416,5.266,5.4,576027.61
2020-11-20 18:00:00,BINANCE:USDTBRL,5.4,5.42,5.377,5.4,125902.99
2020-11-21 18:00:00,BINANCE:USDTBRL,5.4,5.454,5.388,5.435,179577.43
2020-11-22 18:00:00,BINANCE:USDTBRL,5.431,5.502,5.395,5.466,512284.24
2020-11-23 18:00:00,BINANCE:USDTBRL,5.474,5.494,5.415,5.462,728596.33
2020-11-24 18:00:00,BINANCE:USDTBRL,5.462,5.473,5.38,5.381,452233.86
2020-11-25 18:00:00,BINANCE:USDTBRL,5.381,5.484,5.376,5.436,707678.43
2020-11-26 18:00:00,BINANCE:USDTBRL,5.477,5.481,5.399,5.423,375324.98
2020-11-27 18:00:00,BINANCE:USDTBRL,5.423,5.424,5.392,5.419,101101.06
2020-11-28 18:00:00,BINANCE:USDTBRL,5.421,5.421,5.39,5.4,104315.29
2020-11-29 18:00:00,BINANCE:USDTBRL,5.409,5.417,5.317,5.362,466927.3
2020-11-30 18:00:00,BINANCE:USDTBRL,5.355,5.36,5.256,5.291,514951.74
2020-12-01 18:00:00,BINANCE:USDTBRL,5.291,5.32,5.239,5.246,441669.99
2020-12-02 18:00:00,BINANCE:USDTBRL,5.246,5.267,5.168,5.175,435124.73
2020-12-03 18:00:00,BINANCE:USDTBRL,5.175,5.23,5.166,5.201,443088.72
2020-12-04 18:00:00,BINANCE:USDTBRL,5.204,5.216,5.184,5.196,74762.06
2020-12-05 18:00:00,BINANCE:USDTBRL,5.195,5.201,5.17,5.172,133285.0
2020-12-06 18:00:00,BINANCE:USDTBRL,5.172,5.191,5.085,5.143,414266.36
2020-12-07 18:00:00,BINANCE:USDTBRL,5.143,5.19,5.08,5.169,474016.14
2020-12-08 18:00:00,BINANCE:USDTBRL,5.185,5.24,5.144,5.22,424892.72
2020-12-09 18:00:00,BINANCE:USDTBRL,5.22,5.238,5.065,5.073,441198.83
2020-12-10 18:00:00,BINANCE:USDTBRL,5.097,5.149,5.063,5.111,435103.15
2020-12-11 18:00:00,BINANCE:USDTBRL,5.101,5.126,5.074,5.126,247522.89
2020-12-12 18:00:00,BINANCE:USDTBRL,5.126,5.13,5.082,5.09,129524.49
2020-12-13 18:00:00,BINANCE:USDTBRL,5.09,5.138,5.043,5.122,440485.72
2020-12-14 18:00:00,BINANCE:USDTBRL,5.11,5.144,5.099,5.114,376677.63
2020-12-15 18:00:00,BINANCE:USDTBRL,5.116,5.131,5.0,5.042,877502.66
2020-12-16 18:00:00,BINANCE:USDTBRL,5.042,5.111,4.912,5.045,1489424.6
2020-12-17 18:00:00,BINANCE:USDTBRL,5.046,5.123,5.022,5.103,843280.63
2020-12-18 18:00:00,BINANCE:USDTBRL,5.096,5.12,5.063,5.084,488214.83
2020-12-19 18:00:00,BINANCE:USDTBRL,5.084,5.122,5.063,5.115,584262.08
2020-12-20 18:00:00,BINANCE:USDTBRL,5.117,5.254,5.074,5.184,1231910.09
2020-12-21 18:00:00,BINANCE:USDTBRL,5.184,5.207,5.143,5.162,879621.97
2020-12-22 18:00:00,BINANCE:USDTBRL,5.159,5.309,5.143,5.265,1382485.77
2020-12-23 18:00:00,BINANCE:USDTBRL,5.265,5.299,5.223,5.225,883300.33
2020-12-24 18:00:00,BINANCE:USDTBRL,5.225,5.269,5.185,5.229,632448.46
2020-12-25 18:00:00,BINANCE:USDTBRL,5.229,5.289,5.211,5.263,523432.52
2020-12-26 18:00:00,BINANCE:USDTBRL,5.263,5.288,5.235,5.264,656460.86
2020-12-27 18:00:00,BINANCE:USDTBRL,5.264,5.332,5.196,5.294,1122040.76
2020-12-28 18:00:00,BINANCE:USDTBRL,5.294,5.334,5.222,5.226,1215479.55
2020-12-29 18:00:00,BINANCE:USDTBRL,5.224,5.262,5.19,5.248,1084127.81
2020-12-30 18:00:00,BINANCE:USDTBRL,5.248,5.286,5.218,5.256,823560.61
2020-12-31 18:00:00,BINANCE:USDTBRL,5.25,5.279,5.21,5.245,417242.64
2021-01-01 18:00:00,BINANCE:USDTBRL,5.236,5.263,5.195,5.25,1078802.22
2021-01-02 18:00:00,BINANCE:USDTBRL,5.247,5.27,5.192,5.252,963611.78
2021-01-03 18:00:00,BINANCE:USDTBRL,5.258,5.37,5.21,5.307,2040993.45
2021-01-04 18:00:00,BINANCE:USDTBRL,5.308,5.41,5.294,5.302,2403806.09
