datetime,symbol,open,high,low,close,volume
2020-11-19 18:00:00,BINANCE:BUSDBRL,5.3,5.404,5.293,5.396,89565.57
2020-11-20 18:00:00,BINANCE:BUSDBRL,5.396,5.406,5.362,5.378,31781.66
2020-11-21 18:00:00,BINANCE:BUSDBRL,5.4,5.451,5.4,5.42,46568.95
2020-11-22 18:00:00,BINANCE:BUSDBRL,5.427,5.484,5.399,5.462,166497.61
2020-11-23 18:00:00,BINANCE:BUSDBRL,5.47,5.48,5.411,5.455,168729.74
2020-11-24 18:00:00,BINANCE:BUSDBRL,5.446,5.459,5.375,5.375,166640.3
2020-11-25 18:00:00,BINANCE:BUSDBRL,5.381,5.48,5.368,5.46,536554.08
2020-11-26 18:00:00,BINANCE:BUSDBRL,5.432,5.508,5.407,5.416,116881.92
2020-11-27 18:00:00,BINANCE:BUSDBRL,5.416,5.42,5.391,5.405,51384.71
2020-11-28 18:00:00,BINANCE:BUSDBRL,5.405,5.418,5.388,5.398,29654.96
2020-11-29 18:00:00,BINANCE:BUSDBRL,5.392,5.414,5.32,5.324,153018.58
2020-11-30 18:00:00,BINANCE:BUSDBRL,5.32,5.382,5.252,5.257,232642.94
2020-12-01 18:00:00,BINANCE:BUSDBRL,5.288,5.311,5.235,5.235,130587.44
2020-12-02 18:00:00,BINANCE:BUSDBRL,5.233,5.261,5.162,5.179,164105.84
2020-12-03 18:00:00,BINANCE:BUSDBRL,5.177,5.218,5.164,5.199,225327.15
2020-12-04 18:00:00,BINANCE:BUSDBRL,5.202,5.211,5.18,5.196,13459.81
2020-12-05 18:00:00,BINANCE:BUSDBRL,5.189,5.196,5.168,5.169,55380.86
2020-12-06 18:00:00,BINANCE:BUSDBRL,5.168,5.183,5.102,5.146,98357.55
2020-12-07 18:00:00,BINANCE:BUSDBRL,5.134,5.197,5.118,5.197,121982.34
2020-12-08 18:00:00,BINANCE:BUSDBRL,5.186,5.238,5.147,5.219,90477.38
2020-12-09 18:00:00,BINANCE:BUSDBRL,5.219,5.244,5.058,5.096,138342.0
2020-12-10 18:00:00,BINANCE:BUSDBRL,5.096,5.156,5.06,5.11,80195.4
2020-12-11 18:00:00,BINANCE:BUSDBRL,5.11,5.126,5.085,5.124,42335.85
2020-12-12 18:00:00,BINANCE:BUSDBRL,5.124,5.124,5.083,5.093,29637.77
2020-12-13 18:00:00,BINANCE:BUSDBRL,5.084,5.137,5.038,5.117,147176.18
2020-12-14 18:00:00,BINANCE:BUSDBRL,5.109,5.146,5.1,5.102,89852.97
2020-12-15 18:00:00,BINANCE:BUSDBRL,5.114,5.136,5.029,5.029,153897.01
2020-12-16 18:00:00,BINANCE:BUSDBRL,5.056,5.111,4.931,5.045,536182.52
2020-12-17 18:00:00,BINANCE:BUSDBRL,5.05,5.13,5.023,5.094,354206.19
2020-12-18 18:00:00,BINANCE:BUSDBRL,5.092,5.109,5.061,5.087,113092.71
2020-12-19 18:00:00,BINANCE:BUSDBRL,5.082,5.119,5.06,5.106,289615.35
2020-12-20 18:00:00,BINANCE:BUSDBRL,5.106,5.257,5.07,5.175,525265.04
2020-12-21 18:00:00,BINANCE:BUSDBRL,5.173,5.207,5.15,5.157,315340.53
2020-12-22 18:00:00,BINANCE:BUSDBRL,5.169,5.312,5.154,5.266,479317.12
2020-12-23 18:00:00,BINANCE:BUSDBRL,5.277,5.301,5.224,5.224,134685.41
2020-12-24 18:00:00,BINANCE:BUSDBRL,5.235,5.273,5.187,5.233,175504.67
2020-12-25 18:00:00,BINANCE:BUSDBRL,5.231,5.286,5.214,5.269,197836.97
2020-12-26 18:00:00,BINANCE:BUSDBRL,5.259,5.293,5.234,5.269,268105.73
2020-12-27 18:00:00,BINANCE:BUSDBRL,5.271,5.339,5.207,5.3,531249.22
2020-12-28 18:00:00,BINANCE:BUSDBRL,5.299,5.343,5.226,5.227,333982.69
2020-12-29 18:00:00,BINANCE:BUSDBRL,5.227,5.26,5.19,5.246,620614.22
2020-12-30 18:00:00,BINANCE:BUSDBRL,5.248,5.29,5.202,5.24,395724.79
2020-12-31 18:00:00,BINANCE:BUSDBRL,5.248,5.27,5.199,5.223,227280.95
2021-01-01 18:00:00,BINANCE:BUSDBRL,5.233,5.258,5.184,5.24,499420.47
2021-01-02 18:00:00,BINANCE:BUSDBRL,5.242,5.281,5.184,5.243,418172.45
2021-01-03 18:00:00,BINANCE:BUSDBRL,5.243,5.37,5.192,5.304,836204.5
2021-01-04 18:00:00,BINANCE:BUSDBRL,5.304,5.4,5.263,5.283,623002.42
