,symbol,open,high,low,close,volume
2020-09-29,BINANCE:UNIDOWNUSDT,10.0,10.77,9.808,9.885,22.7709
2020-09-30,BINANCE:UNIDOWNUSDT,9.885,10.831,8.264,9.306,72.097
2020-10-01,BINANCE:UNIDOWNUSDT,9.437,12.474,9.437,10.57,57.6794
2020-10-02,BINANCE:UNIDOWNUSDT,10.484,10.834,9.5,10.45,15.2574
2020-10-03,BINANCE:UNIDOWNUSDT,10.452,12.0,10.452,11.285,43.6813
2020-10-04,BINANCE:UNIDOWNUSDT,11.175,14.43,11.1,13.25,95.709
2020-10-05,BINANCE:UNIDOWNUSDT,13.148,20.0,13.142,18.976,110.6462
2020-10-06,BINANCE:UNIDOWNUSDT,19.029,22.423,15.004,15.306,110.3426
2020-10-07,BINANCE:UNIDOWNUSDT,15.51,18.555,10.82,11.405,433.4494
2020-10-08,BINANCE:UNIDOWNUSDT,11.509,12.409,10.2,11.25,383.4972
2020-10-09,BINANCE:UNIDOWNUSDT,11.305,12.03,9.7,11.867,211.3951
2020-10-10,BINANCE:UNIDOWNUSDT,11.867,12.665,10.703,11.35,205.2876
2020-10-11,BINANCE:UNIDOWNUSDT,11.398,11.731,9.581,10.713,198.3979
2020-10-12,BINANCE:UNIDOWNUSDT,10.546,11.842,10.269,11.417,166.1174
2020-10-13,BINANCE:UNIDOWNUSDT,11.341,14.612,10.77,13.124,216.792
2020-10-14,BINANCE:UNIDOWNUSDT,13.247,14.949,12.806,13.621,259.2095
2020-10-15,BINANCE:UNIDOWNUSDT,13.614,15.448,10.992,12.794,284.1336
2020-10-16,BINANCE:UNIDOWNUSDT,12.827,13.396,12.245,12.682,97.4534
2020-10-17,BINANCE:UNIDOWNUSDT,12.682,12.752,10.5,10.6,141.7502
2020-10-18,BINANCE:UNIDOWNUSDT,10.547,11.667,10.547,11.233,137.325
2020-10-19,BINANCE:UNIDOWNUSDT,11.251,13.932,11.111,13.588,109.2362
2020-10-20,BINANCE:UNIDOWNUSDT,13.64,13.729,11.763,12.91,211.4684
2020-10-21,BINANCE:UNIDOWNUSDT,12.798,13.075,11.081,11.778,122.0807
2020-10-22,BINANCE:UNIDOWNUSDT,11.76,12.144,10.613,11.409,272.7105
2020-10-23,BINANCE:UNIDOWNUSDT,11.41,11.79,10.688,11.639,34.8792
2020-10-24,BINANCE:UNIDOWNUSDT,11.791,13.55,11.46,13.008,28.2962
2020-10-25,BINANCE:UNIDOWNUSDT,13.104,15.214,12.202,13.225,33.4079
2020-10-26,BINANCE:UNIDOWNUSDT,13.349,13.349,11.372,12.345,79.451
2020-10-27,BINANCE:UNIDOWNUSDT,12.363,14.443,11.88,13.81,36.3055
2020-10-28,BINANCE:UNIDOWNUSDT,13.776,15.48,13.037,15.034,51.3357
2020-10-29,BINANCE:UNIDOWNUSDT,15.066,18.493,14.742,15.987,105.1697
2020-10-30,BINANCE:UNIDOWNUSDT,15.993,18.588,15.993,18.222,22.1934
2020-10-31,BINANCE:UNIDOWNUSDT,18.293,18.999,15.061,16.011,49.3036
2020-11-01,BINANCE:UNIDOWNUSDT,15.939,18.066,15.075,17.6,48.1056
2020-11-02,BINANCE:UNIDOWNUSDT,17.7,20.292,17.381,19.056,30.2791
2020-11-03,BINANCE:UNIDOWNUSDT,18.928,24.007,18.485,23.075,35.089
2020-11-04,BINANCE:UNIDOWNUSDT,22.983,26.578,13.798,16.123,225.1778
2020-11-05,BINANCE:UNIDOWNUSDT,16.124,16.222,10.64,11.4,368.4284
2020-11-06,BINANCE:UNIDOWNUSDT,11.348,11.87,7.823,11.407,364.5138
2020-11-07,BINANCE:UNIDOWNUSDT,11.353,11.7,7.85,8.157,144.1242
2020-11-08,BINANCE:UNIDOWNUSDT,8.157,9.786,8.082,9.13,159.8642
2020-11-09,BINANCE:UNIDOWNUSDT,9.153,9.459,6.277,6.763,158.9138
2020-11-10,BINANCE:UNIDOWNUSDT,6.733,7.443,6.099,7.257,185.2031
2020-11-11,BINANCE:UNIDOWNUSDT,7.226,7.614,6.15,7.02,179.2222
2020-11-12,BINANCE:UNIDOWNUSDT,7.008,7.143,4.049,4.27,926.989
2020-11-13,BINANCE:UNIDOWNUSDT,4.276,4.8,3.621,3.788,1266.0651
2020-11-14,BINANCE:UNIDOWNUSDT,3.788,4.0,3.037,3.652,1438.1259
2020-11-15,BINANCE:UNIDOWNUSDT,3.659,4.384,3.473,4.144,810.0033
