,symbol,open,high,low,close,volume
2019-09-19,BINANCE:BUSDUSDT,238.7,306.0963,0.0005,1.0,157.4975
2019-09-20,BINANCE:BUSDUSDT,1.0,1.0,0.9999,0.9999,141.2743
2019-09-21,BINANCE:BUSDUSDT,0.9999,1.0001,0.9999,0.9999,127.9663
2019-09-22,BINANCE:BUSDUSDT,0.9999,1.0001,0.9999,1.0,1237.5377
2019-09-23,BINANCE:BUSDUSDT,1.0,1.0499,0.9902,0.9997,3394.5558
2019-09-24,BINANCE:BUSDUSDT,0.9997,1.001,0.9942,0.9997,625.2665
2019-09-25,BINANCE:BUSDUSDT,1.0,1.0018,0.9997,0.9999,702.0985
2019-09-26,BINANCE:BUSDUSDT,0.9999,1.0011,0.9991,0.9992,240.8775
2019-09-27,BINANCE:BUSDUSDT,0.9992,1.0003,0.998,0.999,145.9466
2019-09-28,BINANCE:BUSDUSDT,0.9988,1.0,0.9982,0.9982,104.9135
2019-09-29,BINANCE:BUSDUSDT,0.9982,1.0003,0.9976,1.0,346.2652
2019-09-30,BINANCE:BUSDUSDT,0.9982,1.0,0.9972,0.9994,176.4361
2019-10-01,BINANCE:BUSDUSDT,0.9994,0.9999,0.9973,0.9994,288.5821
2019-10-02,BINANCE:BUSDUSDT,0.9994,0.9999,0.9972,0.9989,252.4527
2019-10-03,BINANCE:BUSDUSDT,0.9989,0.9999,0.9981,0.9982,49.7999
2019-10-04,BINANCE:BUSDUSDT,0.9983,0.9999,0.998,0.9982,50.0779
2019-10-05,BINANCE:BUSDUSDT,0.9981,1.0,0.9977,0.9989,137.3047
2019-10-06,BINANCE:BUSDUSDT,1.0,1.0,0.9976,0.9983,284.3359
2019-10-07,BINANCE:BUSDUSDT,0.9983,1.001,0.998,0.9992,432.4922
2019-10-08,BINANCE:BUSDUSDT,0.9992,1.0007,0.9978,0.9989,2689.9598
2019-10-09,BINANCE:BUSDUSDT,0.9976,0.9998,0.9965,0.997,148.429
2019-10-10,BINANCE:BUSDUSDT,0.9978,1.0,0.997,0.9991,1059.219
2019-10-11,BINANCE:BUSDUSDT,0.9993,1.0,0.998,0.9992,1524.5248
2019-10-12,BINANCE:BUSDUSDT,0.9992,0.9999,0.9984,0.9996,1920.2593
2019-10-13,BINANCE:BUSDUSDT,0.9996,0.9999,0.9985,0.9994,2185.64
2019-10-14,BINANCE:BUSDUSDT,0.9994,1.0006,0.9992,1.0003,3028.5832
2019-10-15,BINANCE:BUSDUSDT,1.0002,1.0011,0.9997,1.0,8195.7137
2019-10-16,BINANCE:BUSDUSDT,1.0001,1.0005,0.9994,0.9995,9330.6218
2019-10-17,BINANCE:BUSDUSDT,0.9995,1.0002,0.9995,0.9997,9477.9602
2019-10-18,BINANCE:BUSDUSDT,0.9996,1.0,0.9991,0.9997,10736.1133
2019-10-19,BINANCE:BUSDUSDT,0.9997,1.0001,0.9986,0.9989,8814.4885
2019-10-20,BINANCE:BUSDUSDT,0.999,0.9995,0.998,0.9983,1996.316
2019-10-21,BINANCE:BUSDUSDT,0.9982,0.9997,0.9982,0.9993,2095.4841
2019-10-22,BINANCE:BUSDUSDT,0.9992,1.0006,0.999,0.9998,4033.44
2019-10-23,BINANCE:BUSDUSDT,0.9998,1.0,0.9985,0.9986,2853.2899
2019-10-24,BINANCE:BUSDUSDT,0.9986,1.0,0.9974,0.9986,6330.5037
2019-10-25,BINANCE:BUSDUSDT,0.9987,1.0,0.9912,0.9989,11785.9355
2019-10-26,BINANCE:BUSDUSDT,0.9988,0.9991,0.9967,0.9977,6708.0057
2019-10-27,BINANCE:BUSDUSDT,0.9978,0.9988,0.9966,0.9979,5753.9408
2019-10-28,BINANCE:BUSDUSDT,0.9978,0.9997,0.9976,0.9985,7098.5918
2019-10-29,BINANCE:BUSDUSDT,0.9985,1.0,0.998,0.9993,5896.0832
2019-10-30,BINANCE:BUSDUSDT,0.9994,0.9995,0.9985,0.9992,5312.2523
2019-10-31,BINANCE:BUSDUSDT,0.9991,1.0002,0.9985,0.9993,5496.6936
2019-11-01,BINANCE:BUSDUSDT,0.9994,0.9995,0.9981,0.9987,3176.6729
2019-11-02,BINANCE:BUSDUSDT,0.9987,0.9998,0.9985,0.9996,3334.5884
2019-11-03,BINANCE:BUSDUSDT,0.9996,1.0002,0.9982,0.9986,7910.759
2019-11-04,BINANCE:BUSDUSDT,0.9986,1.0,0.9978,0.9991,8610.3531
