,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1472.2269506756077,-3883.4422530438037,626.0110958717186,3052.7881032547407,4858.338711554448,-1235.125396525186,3704.775741651928,4509.2463329177735,-6737.74027119019,801.902881791789,1448.1427810419334,-3765.2658400191194,-2215.9902185531805,-2250.2072216520214,4031.766271770769,-1245.3797272659235,1405.242601435314,1497.0715522501946,-5622.221402229908,3278.919459664056,-313.82309095202766,2411.5139756154867,-517.960945839613,-1362.5490136169594,829.6935182824905,3925.6757659445734,433.87244692569453,6341.857475605564,444.80789268052115,2884.6870972613174,3774.3222780045417,259.8862880177306,-3667.847730356638,1000.387882523959,7808.2399462869935,3631.016817393696,189.81447618985706,-2366.448888164133,-741.2957792556454,-1670.5735519520954,6244.373645834869,2962.752553876882,2212.257668821195,-3302.883431650196,345.3483139107744,876.2421305253284,2376.061834125906,-2832.117809418181,-5699.30297946106,-5101.95876343991,1891.457586616815,3869.3970362733367,-5609.841595153636,-4163.8283812748905,1886.0307074272039,2945.7216112229958,2650.606599129176,-2576.9934073179243,3337.0842782929217,3868.8723195242287,4759.330070701068,-1715.5224770556579,-7021.23517652008,-2000.085071093741,-1775.5364114529132,4872.7305289021315,-1951.5554498420934,1851.1483806719928,-7270.017300398045,2504.0227524025345,-5076.576744668067,-1173.380243852849,-1114.0376611163779,1470.1048081480064,-2657.4202270542532,-1199.4834261095907,1430.6657549713404,303.2190198353968,-1013.5248211634242,9950.793151594266,1587.7129392132733,114.36697333060775,2591.2995895995523,-3572.5657280939395,3123.8160891379116,2653.06274505159,-2081.3715751700347,-4953.535292864979,2953.7890436727116,5248.53879890613,-5586.343005918866,2637.3426119426576,-4582.761543540069,-3720.017505760297,3493.6854843106394,-1461.503753671071,5220.10864662371,1156.0000469052472,-795.7689170134199,-7162.897271917392
2,-3533481.159516981,1050928.0972784315,2291740.653611581,2239197.992429788,15877203.16681076,152043.85566834785,-8263125.655043325,16036461.91943303,31084736.853409123,3397543.9726799037,4362286.9120389605,22095888.86976857,4445285.244083644,-3933629.1294755433,11122284.147926277,-994606.4893750665,-3745808.601036275,8366535.69382358,-30055730.889718607,8227867.320324884,-622320.724860126,-4003868.993284971,-762773.3614052834,5400266.274788367,-1512386.118131614,2564219.595734141,-893760.5325908893,8412692.50164011,-1542854.823446101,12886306.63688861,-429803.83073314355,-208904.37894768929,3194194.195264965,-1027038.4968130504,19605503.579025846,3659763.066273623,442391.7059081787,-3772711.9199544936,2424505.3901696275,-1644241.3276037378,-4321138.188907037,-12330172.739812449,2626063.359200461,3702146.867750648,1602286.2297585607,3886791.1544573656,8603307.387024565,3482416.901722259,1741466.778518959,17989055.037861686,-8485977.531837657,2058568.4533214439,-7396736.534719691,-15952838.669131523,-1593985.788357824,9083653.822145391,-1305646.1685720987,13447073.233301042,-18808856.302008104,17631576.019671254,15330668.761560954,784412.5787498098,-10050935.186184801,-5257438.32371343,-4195684.0339432815,4434934.791609321,-11394191.425292417,-8628043.13970067,4890614.025609452,2669960.3977254177,-11854580.546855116,1219219.739904492,2031457.520071012,678257.1714067581,13553257.467073457,3005453.4540940872,1403306.314256798,924932.1161709,-3286893.230780385,11934159.745096436,-5032119.792016012,593988.916995445,73209.88782670743,17791202.492618676,881742.6170627318,-7611231.150849826,-7108130.7409432195,-6824754.856441743,-1919846.928310253,17974495.02508509,-5705160.15470074,3823130.045235357,20885909.28121713,13177053.188212376,447956.3568880307,-3585989.7311187047,12802202.52939066,-2833302.7899632812,-865631.9120496897,10234151.682549378
3,-21432219553.862846,-2644423014.163136,1542244106.3811862,-5681021621.842757,30648256779.740803,-1222192747.779045,18907725711.699272,26799605228.092697,-32542105102.135612,-18160358264.1228,-30636912224.70112,53972339319.11683,-22435570879.374428,-12148092819.121729,-23440516148.68613,1469223956.5020328,-1522774681.1603994,21652942890.375088,96830254435.80243,47784727417.127304,-893292710.6470176,-4412426489.440219,183356933.8887327,12147003324.823147,-4545949195.477742,-26134050610.946705,2371633275.545316,29683837021.296616,4227903374.2222967,-53063069853.01699,1579871831.0180683,-461434341.0735305,12449048277.45474,-343437298.29840577,-40564018535.01528,12668835462.764301,1533018345.1189651,19459659116.47886,2473378183.2516713,-1001506634.1337898,5418115324.876201,-31493428176.29861,-14541198782.299917,-13486638585.240204,4262603366.299521,-11186537020.54555,-38074457583.743416,17485107270.532604,-310771750.08856624,-97701864417.13242,21625144127.632973,5798449938.9914255,-57382460750.08788,8279006562.785061,-15098990018.80324,-34033506715.101357,207923106.28333277,-60356099737.18762,114890472780.41496,44531200847.104355,48931587164.18303,186108723.6185175,12995148779.039444,-24850999692.351482,24465126442.985775,-16346651926.313309,-36894917684.34189,-29493544745.82738,913570632.0516088,12981349124.602169,-57799178829.54176,-4511936491.29728,12791756278.505392,3535155581.0934052,-57237415693.11058,14056563381.250065,990819929.8721341,244172585.7420344,-17608339719.062992,2768890121.6594534,-17383296215.842705,2314008295.071635,158541266.64817327,97697114667.2574,-317183685.54126644,27052048447.27366,-41068149264.15534,-8422921911.154491,-8685757713.920084,-48565503162.57208,-19942737734.542553,-1107631429.137159,17703863453.690727,-13525065782.82672,-414099409.61674434,-7047310012.946593,61799160969.611664,6371047598.559005,3091184893.446099,24848679690.438904
4,73080801788289.95,-11194478072026.783,-3091039989332.501,14609253867322.217,55809697778690.984,-7147744236688.628,-33355769483072.68,78224494235730.88,-170544451834174.03,-11325949530252.938,-123781410211898.6,229057411832279.84,-58621218506287.97,33713533098328.645,161229333250260.12,-279307126661.27075,-8289609986417.581,55599940100965.01,-537645230546521.56,129422165817946.31,3274417006559.1475,9879490843081.582,-594279163858.2329,30023026975886.652,25831524209772.703,61970054385574.58,-11483747962256.83,-71214028276185.5,-9457597656799.135,-217661017828612.06,-13676110270777.58,-2096336720947.5254,-30539962864742.848,-466941202577.2871,-154811191147127.7,41369585121673.24,3311480142937.6904,-69947242280487.18,-2246225869043.434,666963172284.6586,-1013039071045.0646,-37951934993107.5,-2996495364372.894,-3955626252891.785,14728998854825.637,-3900396616209.932,-36941341107454.914,-8430900772410.068,-34043959202.079636,188470854614467.5,10010811269545.867,-39649357225831.87,239959026437728.1,-21483221610879.188,97498790018058.6,-46858546483920.98,-328621957447.9596,-52002776578452.87,147177529195863.6,134565870821401.81,-57117389906753.7,401178209150.0704,-3020281132189.764,-73146349809889.89,-36770092392768.41,-8562377890181.982,-83883910983121.89,34298950381189.37,-70570053099.68642,13786089497548.09,68387809661653.43,-7571722304026.671,-73149663131569.67,-7876626816135.804,-293500779431843.9,-15408036115131.75,-2112365989278.15,1125645843030.6787,31253396916576.668,11644523960885.87,-9349117189230.45,3837298064569.5967,-518626624139.64734,755373813320003.9,665041096272.0895,19206569727803.0,-17821257182357.9,21503789557215.664,33429843299375.07,7098321290155.595,-13879333826512.389,1262338742452.925,-16943136076194.875,11331639948666.207,895531451000.0476,45448416386008.61,-60778962683244.99,29847112503276.68,-2637018244073.4233,49158895422791.94
5,-5.079159887221509e+16,3.0358977246261696e+16,-3704456068783898.5,6.958976551745915e+16,-1.0818231892123024e+17,2.720746463208873e+16,-8333034368967717.0,-5.328468041815795e+16,3.209119611005892e+17,-3.049581488245907e+16,-8.79258870224905e+17,2.4645447228599277e+17,1.3605955569798038e+17,-2.392949037789098e+17,6.262577347242487e+17,839200881687801.9,5.710054783424221e+16,1.481763084453794e+17,3.962308976441959e+17,8.849149749487052e+17,1.2214213457437446e+16,-8143750028141386.0,42376592602036.21,-8.485955472457478e+16,-3.892955387352877e+16,3.144377576652271e+17,5.94516547949776e+16,3.343761328164177e+17,724247487443231.5,2.529930335379881e+17,1.4448599334735804e+16,4003072660891092.0,7.234119862428949e+16,1206163852988651.0,-1.8965771873591875e+17,-1.9162925226717156e+16,-8278364918497094.0,5.3750105901272696e+16,-3129062541730844.5,-696675141504278.2,-2638457575207958.5,-1.67886550658153e+17,-1624416758852588.0,-6786971316316830.0,-7.37362127013741e+16,-608570910096205.2,1.8902053527892246e+17,3.0658995353850012e+16,-125841964755262.94,5.434198432459951e+17,7447172887353999.0,9.967925504563499e+16,1.3515670641251784e+18,4.782480656964033e+16,-1.135741863713478e+16,1.8611255158895213e+17,-473172426387628.0,1.7403800493472982e+17,-3.016750067915097e+17,-6.51437870789048e+16,-4.5897566248292216e+16,-705703069231858.1,1897633394656773.8,7.456972345252003e+16,-1.2619106086134246e+17,-2.6139231017472864e+16,-2.4357511195904365e+17,4.657201237928878e+16,372125779303535.3,-1.9534608062288876e+16,9.49254479816582e+16,-5.5443265575778936e+16,-1.0406428254289075e+17,1106751919912910.6,1.4978480032914762e+17,-2.323714782287415e+16,1.095531786258416e+16,4547414056128111.0,2.652427219354343e+17,4.948627537932054e+16,2.4550609129071704e+16,1668675234296349.8,-2156549172216356.8,1.3087841503905403e+18,219924880805780.72,1.3836231496800738e+16,-5.656235149554504e+16,3.775857982014519e+16,-4.280622278736787e+16,-1.953744371086004e+16,2.636591028675157e+16,-1970787561165800.5,-5.308171904030684e+16,8.321653959676949e+16,-2501743759828180.5,9.875252082805683e+16,1.2277760397395006e+17,9.898231709989886e+16,5281566868422643.0,1.5601933051667875e+17
6,5.108064385073058e+19,-9.239546978430116e+19,2.4900773893803924e+18,-1.7851547292193744e+20,-2.439276438536076e+20,-1.0860938048288001e+20,5.588909851329996e+19,3.298597946821051e+20,8.13277807382521e+20,-3.2259060092941378e+19,7.967812021064954e+21,7.703776438708824e+20,-1.6871372047965117e+20,1.3590442940686913e+21,2.9824294403357923e+21,1.6367174515192566e+18,2.3263640371968705e+20,4.4561276476724294e+20,-2.2874786714143527e+21,-2.2523772046434238e+21,-5.549998195381968e+19,-5.02179771386965e+18,1.172230464505222e+17,4.063813224229967e+19,-1.9208151364489694e+20,-1.8618154412844943e+21,2.6180205823331623e+19,-2.4169428457210216e+20,8.737618736693462e+17,-2.694309817941466e+20,-8.575387566319012e+18,-1.0410641901644556e+19,4.299976946843736e+20,-1.4456824279689871e+18,-2.9620918194823633e+20,-1.948832544753763e+19,1.45390018917519e+19,-4.916429195230399e+20,2.0268011564767544e+18,1.830490274727941e+17,-4.736649798810811e+18,4.506987964560303e+20,-6.608180280120374e+18,1.2975074414360078e+19,-2.6896167194304312e+20,-8.515261190587213e+17,8.086159117019337e+20,-1.3249705409184729e+20,8.518600333348325e+16,2.5322781142039297e+21,4.127949828361605e+19,-4.240784421002737e+20,4.388637858849419e+21,2.6037400489117126e+20,5.365357464544419e+19,7.226073381466358e+20,9.665219853672716e+17,2.451097124732076e+20,-1.002217681589262e+20,2.513788084821048e+20,-1.8555398048039105e+20,-2.802984715035277e+18,1.1086896257004229e+19,-1.978842085108035e+20,-6.931676015826146e+20,-7.70709906449776e+19,1.430084082809873e+21,1.775515175587779e+20,4.088400919128801e+17,-1.4269614758324671e+20,2.6804006000115656e+20,2.8640324268632707e+19,4.487220208933133e+19,1.340610048287156e+18,4.300994623245791e+20,1.3797243515603622e+19,9.055058919297424e+19,9.829375711621028e+18,1.954264316693253e+20,-5.1056565357915005e+19,-6.6718137904563446e+19,-2.501802083020638e+18,-1.4690650198867965e+18,-6.269106766323895e+21,-2.937214148244097e+16,3.671716940130573e+19,2.993270799624506e+20,2.53300492769581e+19,2.8206442413106463e+19,-2.5243827897610334e+19,-2.117562505477729e+19,1.2494808650664524e+19,-4.959937689754023e+19,3.333871664972552e+20,-5.444956360332417e+18,-3.332165213705825e+20,2.721212457537313e+20,-8.117599191335743e+19,2.5373197898752967e+19,2.4385521395006013e+19
7,1.7105615968828354e+23,1.4488643698031732e+22,-2.365555964838047e+22,4.400755807955929e+23,-7.625276145883691e+23,-3.8817769903299225e+23,2.9102506282687683e+22,1.1590374178588433e+24,-1.5158968226503445e+24,1.2481991157684097e+23,-4.011649073657754e+24,-4.500412450020235e+24,2.622289638190869e+22,-1.1384858962161043e+24,-2.5082331697931955e+24,1.1092250142082501e+21,-8.810086873894199e+22,1.7031875764432738e+22,-7.844042130637705e+24,2.86681144960033e+24,-1.5686305329300145e+23,-7.122219480522219e+21,-2.950809159049963e+20,4.649968304163799e+23,5.130573773157329e+23,1.4995629885209335e+24,-2.64296758957734e+22,-5.1214843110833585e+23,-2.6721622955112635e+21,-9.284122038842347e+23,-3.956100645719443e+22,6.581707862705632e+22,-3.1989269088178804e+23,-3.114481061553766e+21,1.1783168695325311e+24,-1.6866386233582454e+22,1.7380524102942418e+22,1.7072715605397272e+24,-2.9485996227916815e+21,6.310516596634891e+20,2.298585898097917e+22,1.0636311655923625e+24,-3.9857314067285567e+21,-3.0915362696290427e+21,-7.22352958159564e+23,-3.183715021542937e+21,2.4839588464634893e+23,-2.906353116179349e+23,-5.2018371814829466e+19,1.6770997593472894e+24,8.658981616358204e+22,-2.8249879692454696e+24,-2.2500269190870993e+24,6.788692605548021e+23,-3.521092897570213e+23,2.3467596733091596e+24,-2.417558931766764e+20,-2.007322746747541e+23,8.690071891337546e+22,-1.157660212652648e+24,-7.270272499898754e+23,-5.034474581530579e+21,-1.5740163064897617e+22,-4.903086238816669e+23,-5.172346831876622e+24,-2.8971897084963873e+23,2.492853927318175e+24,-4.0178524692041e+23,1.9784453746606969e+21,-4.394428136096665e+23,-3.825400403759729e+23,-2.98168755661177e+22,1.1305400472651437e+23,-9.538354055596386e+21,-1.4329045009274511e+23,8.053327549167166e+22,-6.299868423969596e+23,-4.111655170333978e+22,-6.522940319366775e+23,-1.845240503896064e+23,2.268620465229991e+22,5.01389753681524e+21,3.6089819578065984e+20,4.127116449329699e+25,6.801134433133775e+19,-5.261282570301109e+22,-6.35676893566678e+22,7.045051196245125e+22,-2.116771676164116e+23,-1.2260210949521886e+23,6.013964270823514e+22,-2.92937986057327e+22,5.364208144531598e+22,1.9038217672485442e+24,1.540630844389803e+22,-5.691709228713033e+23,1.0854050557137383e+24,2.125860251469803e+23,-1.7730511315360473e+22,9.611157375280375e+22
8,-3.749310954837348e+26,6.606886731051156e+25,-4.397826614552554e+25,-1.876609330591532e+26,-2.076378446976473e+27,-5.0685871678390346e+26,1.872309837874657e+25,-1.200122056951882e+28,-3.016656891450303e+25,-1.6067676170038086e+26,-1.8287982723510502e+28,2.271117259145367e+28,-2.907397801570521e+25,3.3249926738471616e+27,7.914243429405886e+27,6.685228406126232e+24,-4.6843244909020506e+25,-3.4983455416232064e+25,8.644706872384548e+27,-5.248230225591912e+26,3.523366035156831e+26,3.3137263445315456e+25,-2.1606213166143675e+24,1.5311680609853025e+27,-1.874128188885213e+27,5.856982186861868e+27,-1.463974799150001e+25,2.106813068341173e+25,-7.06396318702167e+24,1.4404430002340772e+27,3.5581052773097006e+24,1.8784825010260462e+25,8.504899999339099e+26,-1.276310363311265e+25,2.8395490699700545e+27,6.777696945832388e+25,4.0954132962546645e+25,1.5163824489630346e+27,-7.573453440789411e+24,1.4597269303708802e+24,-1.0690835658829159e+26,4.1920702676935025e+27,-4.2362104476101494e+24,2.8663252287055424e+24,4.5317800375725914e+27,-1.1868026456118518e+25,1.0576673819967699e+27,-3.1848801584392106e+26,-2.341457200172523e+22,-5.753340475340632e+27,-1.3806221358917388e+26,4.5436582151358013e+27,2.5917450477388267e+26,-2.0299073714675676e+26,4.9611228153155225e+26,-3.8137006600631773e+27,-2.2137672390157223e+23,-8.300572316318846e+25,-1.5149627260384801e+26,5.809544478330828e+27,-3.918197445423675e+27,1.5346410645870796e+25,1.7336885324000292e+25,1.268801535836932e+27,2.9889819586376446e+27,-6.413601074739485e+26,-3.164830502170676e+27,2.7507460023625265e+26,1.3371904430979898e+25,1.8959136726467055e+27,5.570147708727058e+26,-2.610107813994112e+25,-8.922887078303566e+25,-1.946010045424158e+25,2.9487284873614712e+26,-4.479904824146653e+26,-1.8080538497699047e+27,2.617444900058112e+26,-3.327985293158454e+27,-1.5965589938824047e+27,-2.7174350184269176e+25,2.3899146398152875e+25,-3.4844025735216067e+23,1.3398058264534613e+29,3.208477951145357e+23,-4.159131647568133e+26,-7.140914379264575e+25,-1.3156631416567296e+26,-6.98908565069097e+26,4.173852612422678e+26,-1.3603734899528352e+26,-1.8104288499860283e+25,-1.1700648033759654e+26,5.564035389349456e+27,-7.968547720933729e+25,2.516316555444745e+27,-3.503766847489336e+27,-1.733527605154847e+26,6.855852278495394e+25,7.274382676739689e+26
9,1.8234411300585996e+30,3.1086823918185402e+29,-2.5857257903950015e+29,-2.889989900461032e+29,-1.0351949903983202e+30,1.2878436330974972e+30,2.6962477460572155e+28,-6.939859659068279e+31,-2.597937399608855e+29,3.940011916016891e+29,4.083168458786294e+31,5.5106467947957915e+31,3.161926640626907e+27,1.3235429864496761e+31,-6.488855200050262e+31,-5.411654613471155e+27,-7.6238377562122945e+28,9.6021668587563e+28,2.416782313191302e+31,-3.1339118537393715e+30,1.2279559684672872e+30,1.6356054423337838e+29,-1.7817072957139434e+28,9.352726786363192e+30,-3.958655981544903e+30,1.9040362849495017e+31,1.8035021485344582e+28,-2.105997283372263e+28,3.1073031234243236e+28,-1.3716493320345692e+31,-6.737950703852945e+27,-2.0006924821849523e+27,3.719313544356258e+30,-4.613171241658776e+28,-6.785672594045056e+30,2.280640892072273e+29,3.554876122799457e+28,7.319758707893914e+29,1.8876812834233422e+28,5.915334431830263e+27,1.141020496452155e+29,-1.871849822901021e+31,-2.4064490225186046e+27,2.2116688212074572e+27,1.247748840600885e+31,-4.670506066979243e+28,3.803638851920789e+30,-1.233046403320113e+30,1.0034101044913036e+25,-1.4889364091626505e+30,9.32762881886809e+28,-4.5592702677761914e+30,-1.3528642575396603e+29,-2.2334940982754003e+29,2.671470652628383e+30,-7.677666127325713e+30,8.868563090105223e+25,-3.22592630637001e+29,-1.771032540758708e+29,-1.1004462032713635e+31,9.484907066143742e+30,-2.2022693710152546e+28,1.1233581175031647e+27,4.06733087591655e+30,4.259110905582578e+30,-3.75641532599806e+30,-2.76279978655649e+30,6.161615079169961e+29,-5.753758130885498e+27,-9.851908595849561e+30,2.1724604160593559e+30,-1.703451362915385e+29,3.6527675523972076e+29,6.289995228444068e+28,9.012416326957581e+29,9.1330501006871e+29,-7.81100199276232e+29,1.3167783189652165e+29,-1.5756088141702985e+31,1.0440629187408346e+30,6.256194078534366e+28,-1.6048778827818963e+29,1.6800921517560069e+27,1.6775379774922875e+32,3.705042869839626e+26,-1.7647661844965338e+30,4.797650195730406e+29,-1.7454927440782726e+29,1.5990448740702099e+30,9.015192145378334e+29,1.0169967730067533e+30,-4.761996738392805e+28,-8.739310611442167e+28,-2.866853758435502e+31,-1.3725025125971567e+29,5.295919765206431e+30,2.4979344827138582e+31,6.782049108394539e+29,1.2600984876473852e+29,1.5200530956755838e+30
